Data;Zamkniecie
7/25/2019;1973,82
7/26/2019;1943,05
7/29/2019;1912,45
7/30/2019;1898,53
7/31/2019;1866,78
8/1/2019;1855,32
8/2/2019;1823,24
8/5/2019;1765,13
8/6/2019;1787,83
8/7/2019;1793,4
8/8/2019;1832,89
8/9/2019;1807,58
8/12/2019;1784,92
8/13/2019;1824,34
8/14/2019;1762,96
8/15/2019;1776,12
8/16/2019;1792,57
8/19/2019;1816,12
8/20/2019;1801,38
8/21/2019;1823,54
8/22/2019;1805,6
8/23/2019;1749,62
8/26/2019;1768,87
8/27/2019;1761,83
8/28/2019;1764,25
8/29/2019;1786,4
8/30/2019;1776,29
9/3/2019;1789,84
9/4/2019;1800,62
9/5/2019;1840,72
9/6/2019;1833,51
9/9/2019;1831,35
9/10/2019;1820,55
9/11/2019;1822,99
9/12/2019;1843,55
9/13/2019;1839,34
9/16/2019;1807,84
9/17/2019;1822,55
9/18/2019;1817,46
9/19/2019;1821,5
9/20/2019;1794,16
9/23/2019;1785,3
9/24/2019;1741,61
9/25/2019;1768,33
9/26/2019;1739,84
9/27/2019;1725,45
9/30/2019;1735,91
10/1/2019;1735,65
10/2/2019;1713,23
10/3/2019;1724,42
10/4/2019;1739,65
10/7/2019;1732,66
10/8/2019;1705,51
10/9/2019;1721,99
10/10/2019;1720,26
10/11/2019;1731,92
10/14/2019;1736,43
10/15/2019;1767,38
10/16/2019;1777,43
10/17/2019;1787,48
10/18/2019;1757,51
10/21/2019;1785,66
10/22/2019;1765,73
10/23/2019;1762,17
10/24/2019;1780,78
10/25/2019;1761,33
10/28/2019;1777,08
10/29/2019;1762,71
10/30/2019;1779,99
10/31/2019;1776,66
11/1/2019;1791,44
11/4/2019;1804,66
11/5/2019;1801,71
11/6/2019;1795,77
11/7/2019;1788,2
11/8/2019;1785,88
11/11/2019;1771,65
11/12/2019;1778
11/13/2019;1753,11
11/14/2019;1754,6
11/15/2019;1739,49
11/18/2019;1752,53
11/19/2019;1752,79
11/20/2019;1745,53
11/21/2019;1734,71
11/22/2019;1745,72
11/25/2019;1773,84
11/26/2019;1796,94
11/27/2019;1818,51
11/29/2019;1800,8
12/2/2019;1781,6
12/3/2019;1769,96
12/4/2019;1760,69
12/5/2019;1740,48
12/6/2019;1751,6
12/9/2019;1749,42
12/10/2019;1739,21
12/11/2019;1748,72
12/12/2019;1760,33
12/13/2019;1760,94
12/16/2019;1769,21
12/17/2019;1790,66
12/18/2019;1784,03
12/19/2019;1792,28
12/20/2019;1786,5
12/23/2019;1793
12/24/2019;1789,21
12/26/2019;1868,77
12/27/2019;1869,8
12/30/2019;1846,89
12/31/2019;1847,84
1/2/2020;1898,01
1/3/2020;1874,97
1/6/2020;1902,88
1/7/2020;1906,86
1/8/2020;1891,97
1/9/2020;1901,05
1/10/2020;1883,16
1/13/2020;1891,3
1/14/2020;1869,44
1/15/2020;1862,02
1/16/2020;1877,94
